ID,Phase,Task,Priority,EffortDays,Dependencies,Status
P3-11,Phase 3 - Testing,Release workflow on tag,Med,0.5,P3-10,Todo
P3-12,Phase 3 - Testing,Test-data generator script,Low,0.3,P3-1,Todo
P4-1,Phase 4 - Features,Token Budget Engine with provider presets,High,1.0,P2-5,Todo
P4-2,Phase 4 - Features,Auto-trim and summarize on budget overflow,High,0.8,P4-1,Todo
P4-3,Phase 4 - Features,Impact Analysis reverse transitive dependents,High,1.2,P4-1,Todo
P4-4,Phase 4 - Features,Unified dependency graph extraction,High,0.8,P4-3,Todo
P4-5,Phase 4 - Features,Secrets Scan phase with expanded patterns,High,0.8,P3-5,Todo
P4-6,Phase 4 - Features,Output viewer search line numbers copy-raw,High,0.8,,Todo
P4-7,Phase 4 - Features,Run history and run-to-run diff,Med,0.8,P1-3,Todo
P4-8,Phase 4 - Features,Language and framework auto-detect plus monorepo,High,1.0,P2-1,Todo
P4-9,Phase 4 - Features,i18n with QTranslator,Med,0.6,,Todo
P4-10,Phase 4 - Features,Per-project presets,Med,0.5,P4-8,Todo
P4-11,Phase 4 - Features,Wire onboarding dialog and empty states,Med,0.3,P2-8,Todo
P5-1,Phase 5 - Platform,Headless CLI scan command,High,1.0,P2-5,Todo
P5-2,Phase 5 - Platform,Parallel extraction with ThreadPoolExecutor,High,1.0,P2-2,Todo
P5-3,Phase 5 - Platform,Incremental analysis with persisted cache,High,0.8,P1-11,Todo
P5-4,Phase 5 - Platform,PyInstaller one-file build,High,1.0,P0-2,Todo
P5-5,Phase 5 - Platform,MSI installer and code signing,Med,1.0,P5-4,Todo
P5-6,Phase 5 - Platform,Auto-update check,Low,0.6,P3-11,Todo
P5-7,Phase 5 - Platform,MCP server mode,High,1.5,P2-5,Todo
P5-8,Phase 5 - Platform,Direct AI integration with cost estimate,High,1.5,P4-1,Todo
P5-9,Phase 5 - Platform,New ecosystems Flutter Swift Go Rust C# PHP,Med,2.0,P4-8,Todo
P5-10,Phase 5 - Platform,Infra extractors Docker K8s Terraform SQL,Med,1.0,P5-9,Todo
P5-11,Phase 5 - Platform,Plugin system for third-party extractors,Med,0.8,P2-5,Todo
P5-12,Phase 5 - Platform,Structured logging and diagnostics bundle,Low,0.4,P1-5,Todo
P6-1,Phase 6 - Manager Deliverables,Project health dashboard,Med,1.2,P4-1,Todo
P6-2,Phase 6 - Manager Deliverables,Ownership map from git blame,Med,0.8,P4-3,Todo
P6-3,Phase 6 - Manager Deliverables,Churn x Complexity refactor hotspots,Med,1.0,P4-4,Todo
P6-4,Phase 6 - Manager Deliverables,Dead-code and duplication detection,Med,1.0,P4-4,Todo
P6-5,Phase 6 - Manager Deliverables,Test coverage mapping,Med,0.8,P3-1,Todo
P6-6,Phase 6 - Manager Deliverables,Exports PDF HTML Confluence Jira CSV,Med,1.0,P6-1,Todo
P6-7,Phase 6 - Manager Deliverables,Onboarding doc generator,Low,0.6,P4-1,Todo
P6-8,Phase 6 - Manager Deliverables,Semantic search index optional,Low,1.5,P2-5,Todo
P6-9,Phase 6 - Manager Deliverables,Accessibility and shortcuts audit,Low,0.5,,Todo
